    dBdt_X    dBdt_Z
 1.00557e-12  1.26252e-11 
 8.12100e-13  9.90739e-12 
 6.32023e-13  7.71323e-12 
 4.73951e-13  5.97921e-12 
 3.43103e-13  4.63279e-12 
 2.39138e-13  3.59487e-12 
 1.63030e-13  2.83018e-12 
 1.04478e-13  2.22186e-12 
 5.97638e-14  1.73181e-12 
 2.74759e-14  1.34523e-12 
 5.01954e-15  1.03902e-12 
-9.75060e-15  7.96918e-13 
-1.83561e-14  6.06640e-13 
-2.20590e-14  4.62945e-13 
-2.25369e-14  3.53481e-13 
-2.11156e-14  2.66209e-13 
-1.85728e-14  1.96741e-13 
-1.53862e-14  1.42195e-13 
-1.20076e-14  9.98074e-14 
-9.99900e+03  1.04553e-09 
-9.99900e+03  7.12390e-10 
-9.99900e+03  5.27378e-10 
-9.99900e+03  3.96246e-10 
-9.99900e+03  3.08976e-10 
-9.99900e+03  2.38577e-10 
-9.99900e+03  1.92641e-10 
-9.99900e+03  1.52358e-10 
-9.99900e+03  1.25412e-10 
-9.99900e+03  1.02585e-10 
-9.99900e+03  8.25788e-11 
-9.99900e+03  6.65135e-11 
-9.99900e+03  5.30145e-11 
 1.57644e-12  4.22391e-11 
 1.64775e-12  3.33065e-11 
 1.58838e-12  2.62243e-11 
 1.43900e-12  2.04705e-11 
 1.23998e-12  1.61099e-11 
 1.02937e-12  1.26255e-11 
 8.27790e-13  9.90272e-12 
 6.41749e-13  7.70679e-12 
 4.79654e-13  5.97289e-12 
 3.46320e-13  4.62745e-12 
 2.40985e-13  3.59077e-12 
 1.64270e-13  2.82720e-12 
 1.05464e-13  2.21983e-12 
 6.06779e-14  1.73056e-12 
 2.84032e-14  1.34457e-12 
 5.97115e-15  1.03880e-12 
-8.80002e-15  7.96994e-13 
-1.74467e-14  6.06909e-13 
-2.12278e-14  4.63313e-13 
-2.18071e-14  3.53880e-13 
-2.04984e-14  2.66597e-13 
-1.80692e-14  1.97091e-13 
-1.49917e-14  1.42490e-13 
-1.17121e-14  1.00041e-13 
-9.99900e+03  1.04809e-09 
-9.99900e+03  7.15139e-10 
-9.99900e+03  5.30308e-10 
-9.99900e+03  3.99170e-10 
-9.99900e+03  3.11701e-10 
-9.99900e+03  2.40972e-10 
-9.99900e+03  1.94693e-10 
-9.99900e+03  1.54009e-10 
-9.99900e+03  1.26734e-10 
-9.99900e+03  1.03607e-10 
-9.99900e+03  8.33292e-11 
-9.99900e+03  6.70477e-11 
-9.99900e+03  5.33752e-11 
 1.67874e-12  4.24731e-11 
 1.73646e-12  3.34484e-11 
 1.65939e-12  2.63045e-11 
 1.49189e-12  2.05106e-11 
 1.27775e-12  1.61279e-11 
 1.05505e-12  1.26306e-11 
 8.44579e-13  9.90148e-12 
 6.52076e-13  7.70272e-12 
 4.85670e-13  5.96821e-12 
 3.49689e-13  4.62324e-12 
 2.42902e-13  3.58745e-12 
 1.65541e-13  2.82477e-12 
 1.06461e-13  2.21819e-12 
 6.15916e-14  1.72957e-12 
 2.93258e-14  1.34409e-12 
 6.91728e-15  1.03869e-12 
-7.85399e-15  7.97153e-13 
-1.65401e-14  6.07233e-13 
-2.03978e-14  4.63716e-13 
-2.10772e-14  3.54302e-13 
-1.98802e-14  2.67000e-13 
-1.75643e-14  1.97451e-13 
-1.45956e-14  1.42791e-13 
-1.14152e-14  1.00277e-13 
-9.99900e+03  1.04111e-09 
-9.99900e+03  7.13592e-10 
-9.99900e+03  5.30919e-10 
-9.99900e+03  4.00780e-10 
-9.99900e+03  3.13583e-10 
-9.99900e+03  2.42813e-10 
-9.99900e+03  1.96342e-10 
-9.99900e+03  1.55368e-10 
-9.99900e+03  1.27828e-10 
-9.99900e+03  1.04456e-10 
-9.99900e+03  8.39519e-11 
