dBdt_X dBdt_Z
3.249052013029903336e-11 3.249052013029903336e-11
2.564191826349768974e-11 2.564191826349768974e-11
2.006728242443290214e-11 2.006728242443290214e-11
1.583032453365355415e-11 1.583032453365355415e-11
1.243554081809964137e-11 1.243554081809964137e-11
9.775104666678438327e-12 9.775104666678438327e-12
7.623444815822212228e-12 7.623444815822212228e-12
5.919545628527662026e-12 5.919545628527662026e-12
4.593756246216457160e-12 4.593756246216457160e-12
3.569534225989307259e-12 3.569534225989307259e-12
2.813313574060420465e-12 2.813313574060420465e-12
2.210700539257047305e-12 2.210700539257047305e-12
1.724551436712093886e-12 1.724551436712093886e-12
1.340496030910226399e-12 1.340496030910226399e-12
1.035906962411567848e-12 1.035906962411567848e-12
7.948407567739396596e-13 7.948407567739396596e-13
6.052186659887236515e-13 6.052186659887236515e-13
4.619259453323136249e-13 4.619259453323136249e-13
3.527224485197140842e-13 3.527224485197140842e-13
2.656376188921480455e-13 2.656376188921480455e-13
1.963116177968660930e-13 1.963116177968660930e-13
1.418743232522666767e-13 1.418743232522666767e-13
9.957432956461548818e-14 9.957432956461548818e-14
1.052308540271066434e-09 1.052308540271066434e-09
7.136051770002595081e-10 7.136051770002595081e-10
5.260038905460345395e-10 5.260038905460345395e-10
3.934080808159964246e-10 3.934080808159964246e-10
3.055038964437367019e-10 3.055038964437367019e-10
2.348797073077322161e-10 2.348797073077322161e-10
1.890250124249169503e-10 1.890250124249169503e-10
1.490303473897598545e-10 1.490303473897598545e-10
1.224579971446126100e-10 1.224579971446126100e-10
1.000363609236513690e-10 1.000363609236513690e-10
8.045811327054398756e-11 8.045811327054398756e-11
6.479448750121099148e-11 6.479448750121099148e-11
5.166196490863254666e-11 5.166196490863254666e-11
4.119620055967086865e-11 4.119620055967086865e-11
3.252612682108198052e-11 3.252612682108198052e-11
2.565096060471353880e-11 2.565096060471353880e-11
2.006059327500110882e-11 2.006059327500110882e-11
1.581682727280592423e-11 1.581682727280592423e-11
1.241972967837358085e-11 1.241972967837358085e-11
9.759760623285702475e-12 9.759760623285702475e-12
7.609952539081385712e-12 7.609952539081385712e-12
5.908514150637697895e-12 5.908514150637697895e-12
4.585189413736526204e-12 4.585189413736526204e-12
3.563145191891283634e-12 3.563145191891283634e-12
2.808620351175385686e-12 2.808620351175385686e-12
2.207360350603289112e-12 2.207360350603289112e-12
1.722278369870259504e-12 1.722278369870259504e-12
1.339026985579567607e-12 1.339026985579567607e-12
1.035031800090191881e-12 1.035031800090191881e-12
7.943925454197534942e-13 7.943925454197534942e-13
6.050615894289049708e-13 6.050615894289049708e-13
4.619452809710332050e-13 4.619452809710332050e-13
3.528377505320050709e-13 3.528377505320050709e-13
